RUN,2020/04/13 19:09
TAG,※ アットマークを半角に変換してください。
TAG,兵庫県オープンデータカタログサイト
TAG,お問い合わせ先
TAG,有志の仲間
TAG,東京都公式コロナウイルス対策サイト
TAG,以下のメールアドレスまでご連絡ください。
TAG,当サイトに掲載されている情報の正確性については万全を期していますが、私たちは利用者が当サイトの情報を用いて行う一切の行為について責任を負うものではありません。
TAG,兵庫県による公式情報と客観的な数値をわかりやすく伝えることで、兵庫県にお住まいの方や、兵庫県内に拠点を持つ企業の方、兵庫県を訪れる方が、現状を把握して適切な対策を取れるようにすることを目的としています。
TAG,兵庫県内の最新感染動向
TAG,兵庫県非公式 新型コロナウイルスまとめサイト
TAG,クラスター別陽性患者数
TAG,まとめサイト
TAG,年代別陽性患者数
TAG,入院患者数と残り病床数
TAG,兵庫県の新型コロナウイルス感染症 (COVID-19) に関する最新情報を提供するために、有志の仲間が開設したまとめサイトです。
TAG,兵庫県内の感染者数、検査実施件数、入院患者数などをわかりやすく伝えることで、現状を把握して適切な対策を取れるようにすることを目的としています。
TAG,兵庫県非公式
TAG,新型コロナウイルス
TAG,PDF
TAG,（注）病床数は兵庫県が公開する{data}を参照
TAG,{fixedTime} 時点
TAG,{fixedTime} 更新
TAG,埋め込みコードをコピーしました
TAG,兵庫県公式Twitter
TAG,記者発表資料
TAG,menu/新型コロナウイルス
TAG,新型コロナウイルス感染症の県内検査状況について
TAG,新型コロナウイルスに感染した患者の発生状況
TAG,menu/まとめサイト
TAG,兵庫県公式ホームページ
TAG,新型コロナウイルスの対応について
TAG,兵庫県緊急事態措置について
TAG,床
TAG,総病床数
TAG,（注）同一の対象者が複数含まれる場合あり
TAG,重複者
TAG,陰性確認者
TAG,兵庫県
TAG,90代以上
TAG,ライブ関係
TAG,仁恵病院
TAG,行動歴調査中
TAG,特定できず
TAG,宝塚第一病院
TAG,北播磨総合医療センター
TAG,グリーンアルス関係
TAG,介護保険通所事業所
TAG,認定こども園
TAG,海外渡航関係
TAG,神戸市中央市民病院
TAG,宝塚健康福祉事務所管内
TAG,加古川市
TAG,姫路市
TAG,稲美町
TAG,福崎町
TAG,芦屋市
TAG,加西市
TAG,三田市
TAG,丹波市
TAG,宝塚市
TAG,淡路市
TAG,加東健康福祉事務所管内
TAG,芦屋健康福祉事務所管内
TAG,尼崎市
TAG,神戸市
TAG,川西市
TAG,明石市
TAG,洲本健康福祉事務所管内
TAG,伊丹健康福祉事務所管内
TAG,西宮市
TAG,伊丹市
TAG,神戸市外
TAG,入院患者数
TAG,残り病床数
RUN,2020/04/13 19:11
TAG,兵庫県知事からのメッセージ
RUN,2020/04/14 10:00
TAG,人数
TAG,クラスター/感染源
TAG,読み込み中
TAG,（毎週金曜日に、前週木曜日から当該週水曜日までの日々の件数を反映）
TAG,（毎週金曜日に、前週木曜日から当該週水曜日までの件数を反映）
RUN,2020/04/15 11:55
TAG,高砂市
TAG,大阪府
RUN,2020/04/15 12:19
TAG,神戸赤十字病院
